content,label,at                       
Minta update  padahal sudah update,-1,43960.95139
Selalu minta update tiap dbuka aplikasinya,-1,43960.95347
Pelayanan baik,1,43960.95347
Aplikasi selalu terhenti ketika buka menu  Payah! Aplikasi PAYAH malu2in BPJS,-1,43960.95625
Good app,1,43960.96667
Moga membantu,1,43960.97361
Ok,1,43960.97639
Sangat membantu,1,43960.98542
Gimana sih ini sekarang susah banget buka aplikasi ya eror mulu..padahal ada yang mau di rubah data..kalau ke kantor jauh ya minta ampun..tolong dong perbaiki sistem y,-1,43960.99097
Ok,1,43960.99514
šŸ‘¨,1,43960.99931
Baik dan membantu,1,43991.00694
Blum pernah bikin bpjs,1,43991.01319
Sangat membantu,1,43991.01597
Aplikasi sangat membantu informasi seputar JKN mantepp,1,43991.01806
Setiap pembaruan kenapa eror yaa????,-1,43991.01944
Bagus dan mempermudah akses,1,43991.02014
Ok,1,43991.02083
Aplikasi yang tidak pernah diurus.. Selalu Eror.,-1,43991.02639
Kode Captchanya tidak keliatan jadi tidak bisa login,-1,43991.02778
Gak ngerti saya masud aplikasi ini apa... yg jelas keliatan banget pengen nyedot data saya... harus update setiap mau dibuka  kalau sudah selesai.. besoknya mau buka minta update lagi... payaah.,-1,43991.02917
Mantap,1,43991.03472
Sudah update ttep tidak bisa di buka ,-1,43991.04028
Oke,1,43991.04306
Kurang pelayanan,-1,43991.04306
Baik,1,43991.04583
Semangat grakkk,1,43991.04931
Sangat membantu,1,43991.05
Ok,1,43991.05
Aplikasi ini sangat membantu sekali dalam memberikan informasi dan pelayanan kesehatan,1,43991.05417
Sangat bagus aplikasi JKN BPJS kesehatan bisa merubah kelas yang kita inginkan,1,43991.05833
Oke,1,43991.05903
Baik,1,43991.05972
Membantu banget,1,43991.06181
Apaan ini... Koq di update malah tidak bisa ngapa ngapain,-1,43991.07083
Ok,1,43991.07917
update terus..nggak update tidak bisa dibuka..apalah app ini.. gblk yang buat..memang bgst..update terus.gilaa,-1,43991.08681
oke,1,43991.0875
Alahmdulillah,1,43991.08889
saya jujur kalau bagus saya bilang bagus2..,-1,43991.09028
Mudah diakses,1,43991.09861
Bagus,1,43991.09861
Baik,1,43991.1
Sangat membantu aplikasi Jkn šŸ¤—,1,43991.11111
Ya ampun... Update lagi... Dan... Loadingnya... Sama aja... Leletttt. Terakhir updatr juga 3 minggu yang lalu... Ini udah minta update lagi... Yuh yuh...,-1,43991.11319
Minta update mulu aplikasi nya,-1,43991.11667
Mantap,1,43991.13403
Aplikasi yang sangat membantu.,1,43991.13403
šŸ‘¨,1,43991.14097
Terbaikkk,1,43991.14306
Mantap,1,43991.14306
Lemotttttt poollll,-1,43991.14722
Saya sekeluarga mengucapkan terima. Sekarang kesehatan sekeluarga terjamin,1,43991.14792
Payah  selalu minta update.,1,43991.14861
Yes lah,1,43991.15625
Keseringan minta diperbaharui,-1,43991.15694
Dari 2 tahun lalu pengaduan untuk ganti jenis kelamin masih tetep saja tidak berubah. Jelas2 jenis kelamin di kk dan KTP perempuan kenapa jadi laki?².kan jadi mempersulit. terus harus gimana biar keluhannya di tanggapi dan cepet di rubah jenis kelaminnya. Masa laki2 kasus nya perempuan kan aneh. Tolong di tindak lanjuti laporannya. jugan tiap bln bayar tapi keluhan kita tidak di tanggapišŸ˜¤šŸ˜¤ Tolong satu lagi nih tiap x buka aplikasinya selalu minta update trs!!!! Parah bgt!!!!!!!,-1,43991.16111
Terima kasih BPJS ..,1,43991.16319
Ok,1,43991.16458
aplikasi yang upgrade ya tidak ada perbaikan udah tiap mau buka harus upgrade giliran di buka tidak bisa,-1,43991.16597
Sangat bagus,1,43991.16736
Ok,1,43991.16736
Membantu,1,43991.17014
Sangat memudahkan untuk mendapat pelayanan kesehatan dengan mudah,1,43991.17778
Keren,1,43991.17986
Ok bnget,1,43991.18194
Mempermudah bagi pasien,1,43991.18403
Ok,1,43991.18542
Kami yang tidak mampu Nga takut lagi untuk berobat.,1,43991.18611
Ini aplikasi barusan diupdate kok makin tidak jelas yaa...mau login aja susahnya minta ampun pdhal jaringannya bagus... kalau mau komplain kemana sih ? Sorry saya tidak tau jadi nanya...apa harus ke bpjs lgsg...tp sekarang tidak bisa dtang lgsg ke kantornya...hadehhhšŸ˜Œ,-1,43991.18681
Ok,1,43991.18889
The greats,1,43991.19167
Aplikasi nya tidak guna  dateng langsung ke kantor suruh blk lagi    semuanya serba di persulit  buat apa šŸ˜?šŸ˜?šŸ˜?punya JKN klw tidak bisa di gunakan!!!!!,-1,43991.19583
Kenapa semua aplikasi pemerintah lelet  yang tidak bisa masuk lah apalah!!! Kerja woi kerja,-1,43991.19583
Setiap masuk selalu minta update.. Maaf kalau saya kasih bintang 1,-1,43991.19792
terima kasih atas pelayanan dari mobile JKN semoga dapat membantu warga negara Indonesia untuk menjadi lebih baik dalam pelayanan kesehatan,1,43991.20139
Nice,1,43991.20278
ribet di paksa update mulu,-1,43991.21319
Good,1,43991.21389
Silakan lakukan pendaftaran  selesai pendaftaran dengan baik  ulang lagi pendaftaran biar memastikan  dapat jawaban nomor anda sudah terdaftar silakan melakukan login  begitu login dapat jawaban nomor anda belum terdaftar  bangke nih applikasi.,-1,43991.21458
Mantap,1,43991.21597
bagus dan cepat mendapatkan info dan jelas,1,43991.22083
Bermanfaat,1,43991.22361
Mohon maaf ini untuk aktivasi aja setiap input ada bug. Tolong diperbaiki segera.,-1,43991.22569
Ok,1,43991.22569
Ada yang bilang  org sabar disayang Tuhan.. saya udah kurang sabar gimana? Udah 4 hari nyoba mau buka aplikasi ini  tapi masih tetep tidak bisa juga. terus kerjaan IT nya apaan? Ngopi ama ngerokok doang?? Otw uninstal!,-1,43991.22778
Update terus  tapi makin lemot. Di update buat bikin lemot apa......??????,-1,43991.22917
Aplikasi yang justru mempersulit,-1,43991.23125
Walaupun sering minta update  selama fiturnya ditambah dan diperbarui tidak terlalu menjadi masalah šŸ‘Œ banyak orang ngaku sok kaya di depan tetangga  teman ataupun saudara tapi sok miskin kalau soal membayar suatu kewajiban  sok miskin ketika ada gratisan hahaha.. masyarakat kebanyakan sok  termasuk saya yang sok menasehati šŸ¤­,1,43991.24306
Matap,1,43991.24375
"Memudahkan, tapi kenapa rutin sering bgt minta update ""(",1,43991.25347
Apaan sih ini aplikasi  mau ubah data kok aplikasi keluar sendiri mulu,-1,43991.25903
Minta update teroosss.. nyari duit banget,-1,43991.26319
Good,1,43991.275
"Awal pakai aplikasi ini sangat baik dan memudah kan saya mtidakses kesehatan,,,tapi kenapa setelah di update justru sekarang"" ini aplikasi nya susah untuk di akses nya?? Tolong di perbaiki ya,,,",-1,43991.28681
Mantap,1,43991.29514
terima kasih,1,43991.29931
Top,1,43991.30069
Kepada team IT tolong diperbaiki  kenapa jika harus upgrade tidak bisa digunakan aplikasinya. Kasihan orang yang punya hp kentang seperti saya jika sedikit sedkit upgrade. Perbaiki seperti aplikasi lainnya yang tidak sedikit sedikit upgrade. Mana penilaian orang lain tidak di respon oleh pihak developer,-1,43991.30417
Thank,1,43991.30486
Update tuh benerin aplikasi bukan ancurin aplikasi. Data gag real time  malu maluin plat merah. Sewa IT handal kek,-1,43991.30556
Hoyoh weh unggal muka teh menta apdet  kezelll,-1,43991.30694
Min kok tiba2 saya tidak tercantum di kis keluarga saya? Gimana kok bisa hilang di aplikasi. Terus saya cek di website data kartu saya kok sulit sekali :') tulisannya data peserta tidak ditemukan terus. Pusing.,-1,43991.31319
Good,1,43991.32153
Mantap,1,43991.32222
Baik,1,43991.325
Sangat bermamfaat sekali ,1,43991.32708
Hebat,1,43991.32847
Sangat membantu sekali,1,43991.32847
oke........,1,43991.32986
membantu bgt ....tp jugan mnta update terus...kalau nolak di update malah tidak bisa di pakai lgsung keluar sendiri...jadi harus di update deh...kn tidak selamanya kita pya kuota apa lagi selama pandemi gini...,1,43991.33542
setiap kali di buka selalu minta pembaharuan!!!!!,-1,43991.33611
Mantap,1,43991.33681
Update mulu  tiap mau buka pasti update tidak jelas amat,-1,43991.3375
Selalu mintak di update.,-1,43991.33889
Bagus aplikasinya,1,43991.33889
Sangat membantu,1,43991.34097
Ok,1,43991.34236
Good job,1,43991.35208
Oke,1,43991.35278
Sangat membantu,1,43991.35694
Ok,1,43991.36181
Update terus sampe lupa kita passowrdny,-1,43991.36736
Service nya bagus dimanapun,1,43991.37292
Pelayanan sangat memuaskan dan mudah,1,43991.37569
Sangat membantu  terima kasih!,1,43991.37639
Bagus,1,43991.37986
Mantap,1,43991.38333
good,1,43991.3875
Sangat membantu,1,43991.39028
Bagus,1,43991.39444
Layanannya tidak berbelit,1,43991.39722
Aplikasi setiap mau dibuka harus di update..ga efektif..biar apa coba selalu update,-1,43991.39722
Bagus,1,43991.40139
Keren,1,43991.40764
Terlalu sering update  bosen,-1,43991.41181
Aplikasi yang sangat bagus guna meningkatkan kualitas nya terima kasih,1,43991.41875
Sangat memudahkan,1,43991.42153
Top bgt,1,43991.42153
Update mulu...hadewwwwww,-1,43991.42431
Baik,1,43991.43125
Tiap bln slll minta di update..payah..,-1,43991.43194
Dengan adanya aplikasi JKN mobile tidak perlu bolak balik ke rumah kalau kartu BPJS kesehatan tertinggal,1,43991.43403
Ok,1,43991.44097
Good,1,43991.44306
kl update suka lma bgt ya pdhl kota msh bnyak kenapa ya boss,1,43991.44931
Sangat membantu,1,43991.45069
Kenapa saya tidak bisa login ta,-1,43991.45556
Good,1,43991.46181
Ngebug,-1,43991.46597
Lebih cepat untuk mengecek jml tagihan bpjs kesehatan,1,43991.46736
Buruk setiap mau melakukan pengecekan selalu tidak bisa .. hayoy,-1,43991.46806
Aga lag buka aplikasinya,1,43991.46875
Sangat ... amatttt.... lelet ... !!! Jika pemerintah bener bener sayang rakyatnya aplikasi seperti ini seharusnya dibuat semudah mungkin dan percepatan prosesnya sebih cepet lagi ... soalnya ini menyangkut hal yang sangat penting sekali buat masyarakat luas.. terima kasih,-1,43991.47292
Aplikasi ini sgt menolong dan memudahkan untuk mengetahui jumlah tagihan setiap bulan. terima kasih untuk perbaikan aplikasinya. Terus sempurnakan.,1,43991.47986
Bagus,1,43991.48403
Jkn kontol tai,-1,43991.48542
Ribet bagi orang awam bikin pusing.saya mau liat bpjs aj susah cra jadiya gimana..mkanya ak tuh orang awam jadi pusing liatya duit tidak ad mau bkin bpjs ribet,-1,43991.4875
"Menambah pengetahuan dan mudah""an bermanfaat",1,43991.49097
Good,1,43991.49167
aplikasi update terus tapi pelayanan tidak di update.,-1,43991.49444
Nice application,1,43991.49653
Top,1,43991.50069
Lamasekalii buat daftarnya,-1,43991.50347
tailah  loading lamanya kebangetan.. aplikasi tidak ada pengembang ya gini,-1,43991.51389
Tidak memuaskan. Aplikasi sering kita disuruh meng update terus dan terus setiap mau buka aplikasi. Tolong dong jadi perhatian serius,-1,43991.51667
Capek bolak balik klik register ad aj salah nya ... Monxxt mau ketemu langsung sm custumer service nya langsung tidak bisa di kasih info aplikasi nya malah eror ... Geblek emosi jiwa saya ... Ngasih bintang 1 juga berat sebenarnya šŸ¤?,-1,43991.52014
Mantap,1,43991.52847
Good,1,43991.52917
Mantap,1,43991.53264
Aplikasi ini sangat bermanfaat,1,43991.53403
"Kenapa sih setiap buka aplikasi mobile JKN ini harus instal ulang terus kalau tidak di instal ulang tidak mau masuk ke aplikasi nya, lama"" capek setiap buka aplikasi instal teruss",-1,43991.53611
Mantap,1,43991.53611
Tidak ada fungsinya acan....  baru daftar aja udah kagak bisa lanjut....  parah2 abis....,-1,43991.5375
Mohon maaf  tolong diperbaiki lagi aplikasi nya  terkadang muncul kalimat transaksi anda belum di proses  dan ketika chat konsultasi dengan dokter sangat lama loading proses untuk masuk ke room chat  saya mengulang sampai 3 kali baru bisa masuk ke room chat dengan dokter. Mohon untuk ditindaklanjuti  bila sudah ada perbaikan  saya akan berikan ulasan terbaru. terima kasih,-1,43991.54167
Good,1,43991.54236
Bad,1,43991.54444
Sangat bagus,1,43991.55069
Minta update terus. Kalau tidak diupdate tidak bisa buka  namun data lama harus mulai dari awal mana nomor bpjs tidak semudah aplikasi lain  dan passwordnya dibuka min. Satu bulan sekali hiks..,-1,43991.55694
Jelek.. suruh ulang2. Tolong diperbaiki,-1,43991.55764
Ok,1,43991.55764
Bagus... jadi lebih mudah mengecek hutang yang harus dibayar,1,43991.56181
šŸ‘¨šŸ‘¨šŸ‘¨,1,43991.56597
ok,1,43991.56806
Sangat membantu disaat seperti sekarang ini,1,43991.57153
Terlalu sering update. Kalau tidak di update tidak bisa buka aplikasi. Parah sih aplikasinya,-1,43991.57153
Tidak bisa diakses,-1,43991.57431
Jos,1,43991.57639
Ni aplikasi fungsi tidak si  mau bikin bpjs ortu di persulit datang ke kantor tidak diterima suruh lewat online  sudah nyoba lewat online hasilnya zonk,-1,43991.58611
TERLALUUUUUUU SERING UPDATE. tapi tidak tau apa yang di update  sebab setelah di update tidak ADA YANG BERUBAH. Mohon untuk di perbaiki. Sehingga pengguna nyaman pakai aplikasi ini  sebab aplikasi aplikasi pada umumnya WAJAR AJA proses updatenya  malah ada yang satu tahun baru update. Dan satu JELEK nya aplikasi ini  tidak BISA DI GUNAKAN KALAU tidak DI UPDATE. Kan PEMERASAN ITU NAMANYA  aplikasi lain BISA DI PAKAI walaupun belum update. Ini mah MAKSA BANGET DI UPDATE šŸ˜©,-1,43991.58819
Info terupdate dengan bagus,1,43991.59236
Ok,1,43991.60625
Mantap,1,43991.60694
Mintak di perbarui terusss.. Kalau tidak Diperbarui tidak bisa masukk capekk bah,-1,43991.60764
Sangat berguna untuk mengetahui bpjs kesehatan keluarga saya.,1,43991.60903
Segalanya jadi mudah,1,43991.61042
Ok,1,43991.6125
terlalu sering minta update!!!!!!! terahir update 3 oktober  sekarang 25 oktober mau buka minta di update lagi??? astagfirullaaaaahhh,-1,43991.61458
Sangat membantu,1,43991.61806
Membantu banget,1,43991.62222
Terlalu banyak update  jika tidak di update aplikasi tidak bisa dibuka.. kurangin / minimalkan update,-1,43991.62847
Saya mau ganti nomor telp. Krna yang kmrn udah terdaftar tidak aktif.. gimana cara nya  soal nya saya mau ganti faskes harus kirim kode OTP. mohon di jwab,1,43991.63958
Sangat membantu,1,43991.64028
Mohon aplikasinya di perbaiki tiap buka eror terus mksh atas perhatiannya,-1,43991.64306
Terlalu sering update dan sering eror,-1,43991.64375
Payah minta update terus,-1,43991.65
Good,1,43991.67083
Menyedihkan  tiap buka minta update.,-1,43991.67153
Sangat membantu sekališŸ˜€,1,43991.67222
?·?Š?Ø,1,43991.67569
Tiap minggu kok minta di updatešŸ˜ šŸ˜ šŸ˜ šŸ˜ šŸ˜ ,-1,43991.67847
Tiap mau buka app kok update mulu  emang pembaruannya tiap bulan  apa tiap minggu? lemot bgt lagi app nya.,-1,43991.68194
Keren,1,43991.69653
Setiap buka selalu minta update..kalau tidak diupdate keluar...,-1,43991.7
Mudah,1,43991.7
aplikasi apaan ini. Terus aja gabisa diproses  buang2 waktu!!!,-1,43991.70625
Sangat membantu ...,1,43991.71667
Kemahalan,-1,43991.71875
Kenapa tidak bisa daftar bpjs nik tidak di daftar kan,-1,43991.72014
Sangat membantu,1,43991.74028
šŸ‘¨šŸ‘¨šŸ‘ŒšŸ‘Œ,1,43991.74375
Ok,1,43991.74514
Semoga membantu,1,43991.76736
Good,1,43991.76944
Informasi cepat,1,43991.78611
Ok,1,43991.81389
Jooos,1,43991.83125
Ok,1,43991.84931
Tiapp bukaa aplikasi suruh updateeeee muluuu,-1,43991.89028
Sangat membantu dan bermanfaat sekali app nya.,1,43991.92569
Membantu cek aktif tidaknya karena yang bayar kantor  beda kalau bayar sendiri pasti tau aktif tidaknya. Trauma pernah tidak aktif pas mau dipakai opname nunggu di IGD sampai kantor yang selesaikan masalah pembayaran,1,43991.92847
Bagus,1,43991.95278
"Sebulan udah hampir 5x update ..lama-lama di hapus juga nih aplikasi... bikin memori saya habis saja... saya uninstal juga nih aplikasi.. harus update terus, penuh""in memory aja",-1,43991.95486
Tks,1,43991.96111
Bagus,1,43991.96319
Memudahkan,1,43991.96806
payah,-1,43991.97083
Sekarang kalau mau daftar harus lewat aplikasi tapi aplikasinya eror šŸ‘?,-1,43991.97153
mantap.,1,43991.97917
good,1,43991.98333
Kacau,-1,43991.98611
Buka aplikasi sangat sulit pdhl jaringan setabil . Mohon di benahi aplikasinya . Soalnya kita bayar telat beberapa hari aja ada denda ketika sakit dan harus rawan inap,-1,43991.98889
Lumayan,1,44021.00139
Sangat membantu,1,44021.00347
Good job,1,44021.00347
Alahmdulillah,1,44021.00417
Setiap buka aplikasi jkn harus update terus terus mau ngisi faskes dr gigi juga susah.ayo lah kami orang susah jagan ditambah susah lg,-1,44021.00556
good ekspektasi,1,44021.01389
Ok,1,44021.01528
Parah gak bisa komentar lagi buka aplikasi aja susah muter-muter mulu,-1,44021.01806
Aplikasinya sangat membantu bagi peserta JKN,1,44021.02153
Mantap benar,1,44021.02778
Aplikasi yang terkesan lemot. Tidak ada layanan pelanggan 25jam melalui live chat  atau sejenis lainnya.,-1,44021.02917
šŸ™¸,1,44021.03056
Sudah daftar tapi mau masuk ttp aja suruh daftar  pakai yang edabu versi 1.0 juga.blum.komplit....menonaktifkan peserta tidak ada menunya,-1,44021.03194
Ok,1,44021.03333
Gki,1,44021.03889
Saya tidak paham sama aplikasi ini  tiap bulan minta update terus  kalau tidak di update tidak bisa di buka  padahal ini layanan BPJS agar mempermudah masyarakat  tolong admin solusinya,-1,44021.03889
Mohon diperbaiki aplikasinya...muncul sekrining Covid..di ok muncul tulisan itu terus...terus dan terus...pdhl cm mau chek tagihan berapa...šŸ˜?šŸ˜?šŸ˜?,-1,44021.03958
Aplikasi apa tho ini kok tidak keliatan,-1,44021.04236
Update mulu tiap mau buka aplikasinya...,-1,44021.04306
Aplikasinya mantap tapi kok sering updateyah?,1,44021.04583
Update terussssss,-1,44021.04583
Sangat membantu ..,1,44021.05
Vangke! Aplikasi ajg ... Buat daftar aja tidak bisa udah seminggu  bgst !!,-1,44021.05486
kenapa sllu mintak di update? Ini app stiap kli di buka sllu minta update. kalau blom layak di gunain  di hold dulu lah.,-1,44021.05625
Blt saya belum cair juga padahal temen satu kerjaan udah cair semua?,-1,44021.05764
Baik sekali,1,44021.05972
harus cepat diperbaiki  saya mau mendaftar tapi tidak bisa bisa terus yang nomor NIK salah dan segala macam. hub nomor yang tersedia di chika juga sama saja. di kantorbpjs suruh online dari online suruh ke kantor gituuu jaterus,-1,44021.06042
Mempermudah dapatkan informasi dan layanan kesehatan,1,44021.06181
Sangat membantu,1,44021.06528
Saya daftar secara online  belum sampai 100% koneksi bterputus   sekarg mau bukak lagi  ko nga bisa   daftar lagi nga bisa  msuk login katanya blum terdaftar  ,-1,44021.06736
sangat membantu untuk mengetahui info dari BPJS Kesehatan,1,44021.06806
kurangi pembaruan,1,44021.07292
Dapat memudahkan kami untuk mengecek apakah kami sudah terdaftar atau belum,1,44021.07292
Mantap,1,44021.07639
Oke,1,44021.07847
Serba mudah karena adanya aplikasi JKN,1,44021.07847
Ok,1,44021.08125
Mau nanya. Kenapa ya saya login tidak bisa. Keterangan nomor tidak ditemukan. Di daftar ulang malah disuruh login. karena udah terdaftar,-1,44021.09097
Baik,1,44021.09653
Apa gunanya aplikasi ini kalau tidak bisa di akses .. tolong dong yang berfungsi dan bisa di akses setiap menunya .,-1,44021.09861
Tiap bulan update,-1,44021.09931
Aplikasi macet  servernya down . Payahh,-1,44021.10069
Aplikasi mobile JKN mempermudah peserta dalam menggunakan fasilitas BPJS kesehatan tanpa ribet antri.,1,44021.10139
Ok,1,44021.10278
Bagus Saya bati mau gabung,1,44021.10417
Ok banget Sangat membantu,1,44021.10486
Ok,1,44021.11667
Ok bingit,1,44021.11875
Bagus,1,44021.12222
Updet mah minta terus giliran dibuka tulisan nya data belom diperoses mulu...sueee,-1,44021.12569
good,1,44021.12778
Ok,1,44021.12778
Wow banget,1,44021.12847
Bagus,1,44021.12847
Mantap,1,44021.13056
Good,1,44021.13125
Mantap lanjutkan,1,44021.13125
